s1,class1,ex1,s2,class2,ex2,score
18110020,02CLC,Ex7,15110134,08CLC,Ex1,0.6884810120818463
18110020,02CLC,Ex7,15110134,08CLC,Ex3,0.834795388228753
18110020,02CLC,Ex7,15110134,08CLC,Ex2,0.8353850355978762
18110020,02CLC,Ex7,15110134,08CLC,Ex4,0.8038940264871626
18110020,02CLC,Ex7,15110353,04DT,Ex7,0.7642591668402448
18110020,02CLC,Ex7,15110353,04DT,Ex5,0.8464027298699826
18110020,02CLC,Ex7,15110353,04DT,Ex1,0.7247336806486482
18110020,02CLC,Ex7,15110353,04DT,Ex8,0.786011654059879
18110020,02CLC,Ex7,15110353,04DT,Ex6,0.7623858295900877
18110020,02CLC,Ex7,15110353,04DT,Ex4,0.8139693628657948
18110020,02CLC,Ex7,16110253,09CLC,Ex1,0.6636593776733376
18110020,02CLC,Ex7,16110253,09CLC,Ex3,0.8545121622085571
18110020,02CLC,Ex7,16110253,09CLC,Ex2,0.8530540354111615
18110020,02CLC,Ex7,16110253,09CLC,Ex4,0.8387052039487646
18110020,02CLC,Ex7,16110261,08CLC,Ex5,0.8002206186453501
18110020,02CLC,Ex7,16110261,08CLC,Ex1,0.8736267909407616
18110020,02CLC,Ex7,16110261,08CLC,Ex2,0.8562915133333754
18110020,02CLC,Ex7,16110261,08CLC,Ex6,0.7982649501069821
18110020,02CLC,Ex7,16110261,08CLC,Ex4,0.8294143735848624
18110020,02CLC,Ex7,16110585,08CLC,Ex1,0.6624357241184212
18110020,02CLC,Ex7,16119045,09CLC,Ex5,0.8024649029089646
18110020,02CLC,Ex7,16119045,09CLC,Ex1,0.6710133087428319
18110020,02CLC,Ex7,16119045,09CLC,Ex3,0.8417098086838629
18110020,02CLC,Ex7,16119045,09CLC,Ex2,0.8580393924052456
18110020,02CLC,Ex7,16119045,09CLC,Ex6,0.7962713429436146
18110020,02CLC,Ex7,16119045,09CLC,Ex4,0.8528973492025171
18110020,02CLC,Ex7,17110010,02CLC,Ex7,0.8524709088323957
18110020,02CLC,Ex7,17110010,02CLC,Ex5,0.8057326124981046
18110020,02CLC,Ex7,17110010,02CLC,Ex1,0.6767900637268315
18110020,02CLC,Ex7,17110010,02CLC,Ex3,0.8448896431005918
18110020,02CLC,Ex7,17110010,02CLC,Ex8,0.7748519549516737
18110020,02CLC,Ex7,17110010,02CLC,Ex2,0.9006989942975792
18110020,02CLC,Ex7,17110010,02CLC,Ex6,0.8277736949083399
18110020,02CLC,Ex7,17110010,02CLC,Ex4,0.8448896431005918
18110020,02CLC,Ex7,17110021,01CLC,Ex2,0.8874036006629467
18110020,02CLC,Ex7,17110030,01CLC,Ex7,0.8070935395257226
18110020,02CLC,Ex7,17110030,01CLC,Ex5,0.8078844096252625
18110020,02CLC,Ex7,17110030,01CLC,Ex1,0.6736244124973693
18110020,02CLC,Ex7,17110030,01CLC,Ex3,0.8419517205571229
18110020,02CLC,Ex7,17110030,01CLC,Ex8,0.7510779686097248
18110020,02CLC,Ex7,17110030,01CLC,Ex2,0.8598233861002055
18110020,02CLC,Ex7,17110030,01CLC,Ex6,0.799965636197464
18110020,02CLC,Ex7,17110030,01CLC,Ex4,0.8340787304597989
18110020,02CLC,Ex7,17110033,02CLC,Ex7,0.8142238429614476
18110020,02CLC,Ex7,17110033,02CLC,Ex5,0.8382161307625654
18110020,02CLC,Ex7,17110033,02CLC,Ex1,0.6764199016775404
18110020,02CLC,Ex7,17110033,02CLC,Ex3,0.8537257666941043
18110020,02CLC,Ex7,17110033,02CLC,Ex8,0.7659775727681251
18110020,02CLC,Ex7,17110033,02CLC,Ex2,0.9041503261436116
18110020,02CLC,Ex7,17110033,02CLC,Ex6,0.7924928081952608
18110020,02CLC,Ex7,17110033,02CLC,Ex4,0.8457295796871185
18110020,02CLC,Ex7,17110048,02CLC,Ex7,0.8323805965586957
18110020,02CLC,Ex7,17110048,02CLC,Ex5,0.8537191704887411
18110020,02CLC,Ex7,17110048,02CLC,Ex1,0.6827011261925553
18110020,02CLC,Ex7,17110048,02CLC,Ex3,0.8422344756555987
18110020,02CLC,Ex7,17110048,02CLC,Ex8,0.7510779686097248
18110020,02CLC,Ex7,17110048,02CLC,Ex2,0.8822693141067729
18110020,02CLC,Ex7,17110048,02CLC,Ex6,0.8040966725978914
18110020,02CLC,Ex7,17110048,02CLC,Ex4,0.8457295796871185
18110020,02CLC,Ex7,17110049,02CLC,Ex5,0.8496630988590458
18110020,02CLC,Ex7,17110049,02CLC,Ex1,0.6667348286983642
18110020,02CLC,Ex7,17110049,02CLC,Ex3,0.8524225801229477
18110020,02CLC,Ex7,17110049,02CLC,Ex2,0.8993220811272845
18110020,02CLC,Ex7,17110049,02CLC,Ex6,0.8097696944809797
18110020,02CLC,Ex7,17110049,02CLC,Ex4,0.8390657256861203
18110020,02CLC,Ex7,17110059,02CLC,Ex7,0.8158658871304691
18110020,02CLC,Ex7,17110059,02CLC,Ex5,0.8144433440513981
18110020,02CLC,Ex7,17110059,02CLC,Ex1,0.6720324006109011
18110020,02CLC,Ex7,17110059,02CLC,Ex3,0.8377407676768753
18110020,02CLC,Ex7,17110059,02CLC,Ex8,0.7832679192529244
18110020,02CLC,Ex7,17110059,02CLC,Ex2,0.898983507603407
18110020,02CLC,Ex7,17110059,02CLC,Ex6,0.806017873988432
18110020,02CLC,Ex7,17110059,02CLC,Ex4,0.8252934860146564
18110020,02CLC,Ex7,17110062,02CLC,Ex7,0.8527939401713595
18110020,02CLC,Ex7,17110062,02CLC,Ex5,0.8172861776935557
18110020,02CLC,Ex7,17110062,02CLC,Ex1,0.6790285027388371
18110020,02CLC,Ex7,17110062,02CLC,Ex3,0.8482123321010953
18110020,02CLC,Ex7,17110062,02CLC,Ex8,0.750097373701597
18110020,02CLC,Ex7,17110062,02CLC,Ex2,0.8822893276810646
18110020,02CLC,Ex7,17110062,02CLC,Ex6,0.8369925169963536
18110020,02CLC,Ex7,17110062,02CLC,Ex4,0.8302007511130765
18110020,02CLC,Ex7,17110078,02CLC,Ex7,0.8145105369590424
18110020,02CLC,Ex7,17110078,02CLC,Ex5,0.8015553434284366
18110020,02CLC,Ex7,17110078,02CLC,Ex1,0.6805339110333745
18110020,02CLC,Ex7,17110078,02CLC,Ex3,0.8586469607068858
18110020,02CLC,Ex7,17110078,02CLC,Ex8,0.7456145335166228
18110020,02CLC,Ex7,17110078,02CLC,Ex2,0.8915914576954957
18110020,02CLC,Ex7,17110078,02CLC,Ex6,0.8056213353697117
18110020,02CLC,Ex7,17110078,02CLC,Ex4,0.8397513960228592
18110020,02CLC,Ex7,17110080,02CLC,Ex7,0.8414563322412795
18110020,02CLC,Ex7,17110080,02CLC,Ex5,0.8111030280858547
18110020,02CLC,Ex7,17110080,02CLC,Ex1,0.6785210768381754
18110020,02CLC,Ex7,17110080,02CLC,Ex3,0.8355569243431091
18110020,02CLC,Ex7,17110080,02CLC,Ex8,0.7709446467723943
18110020,02CLC,Ex7,17110080,02CLC,Ex2,0.8862651437520981
18110020,02CLC,Ex7,17110080,02CLC,Ex6,0.7917006246954481
18110020,02CLC,Ex7,17110080,02CLC,Ex4,0.8349051542282104
18110020,02CLC,Ex7,17110082,02CLC,Ex7,0.8534299364456763
18110020,02CLC,Ex7,17110082,02CLC,Ex1,0.6790285027388371
18110020,02CLC,Ex7,17110082,02CLC,Ex3,0.8482123321010953
18110020,02CLC,Ex7,17110082,02CLC,Ex8,0.750539166726329
18110020,02CLC,Ex7,17110082,02CLC,Ex2,0.8910948056727648
18110020,02CLC,Ex7,17110082,02CLC,Ex6,0.8369925169963536
18110020,02CLC,Ex7,17110082,02CLC,Ex4,0.8302007511130765
