s1,class1,ex1,s2,class2,ex2,score
18133061,04DT,Ex1,15110134,08CLC,Ex1,0.8039880583577967
18133061,04DT,Ex1,15110134,08CLC,Ex3,0.7371561360709807
18133061,04DT,Ex1,15110134,08CLC,Ex2,0.7510873718877856
18133061,04DT,Ex1,15110134,08CLC,Ex4,0.7190385368285757
18133061,04DT,Ex1,15110353,04DT,Ex7,0.6419302032274359
18133061,04DT,Ex1,15110353,04DT,Ex5,0.7015388988026785
18133061,04DT,Ex1,15110353,04DT,Ex1,0.8215788401987242
18133061,04DT,Ex1,15110353,04DT,Ex8,0.657254005717759
18133061,04DT,Ex1,15110353,04DT,Ex6,0.6470705358268216
18133061,04DT,Ex1,15110353,04DT,Ex4,0.721484338966283
18133061,04DT,Ex1,16110253,09CLC,Ex1,0.9416968250690505
18133061,04DT,Ex1,16110253,09CLC,Ex3,0.7367241424322128
18133061,04DT,Ex1,16110253,09CLC,Ex2,0.7491953846286324
18133061,04DT,Ex1,16110253,09CLC,Ex4,0.7159865378239832
18133061,04DT,Ex1,16110261,08CLC,Ex5,0.6602402294465634
18133061,04DT,Ex1,16110261,08CLC,Ex1,0.898189062421972
18133061,04DT,Ex1,16110261,08CLC,Ex2,0.7355157225981526
18133061,04DT,Ex1,16110261,08CLC,Ex6,0.6551525997118738
18133061,04DT,Ex1,16110261,08CLC,Ex4,0.7049956432190435
18133061,04DT,Ex1,16110585,08CLC,Ex1,0.9410776416229647
18133061,04DT,Ex1,16119045,09CLC,Ex5,0.6941428287801418
18133061,04DT,Ex1,16119045,09CLC,Ex1,0.9333920850919161
18133061,04DT,Ex1,16119045,09CLC,Ex3,0.738863666267956
18133061,04DT,Ex1,16119045,09CLC,Ex2,0.746654206729797
18133061,04DT,Ex1,16119045,09CLC,Ex6,0.6782928566640453
18133061,04DT,Ex1,16119045,09CLC,Ex4,0.7259982934275877
18133061,04DT,Ex1,17110010,02CLC,Ex7,0.6465920986770426
18133061,04DT,Ex1,17110010,02CLC,Ex5,0.6872942810878158
18133061,04DT,Ex1,17110010,02CLC,Ex1,0.8736370011899598
18133061,04DT,Ex1,17110010,02CLC,Ex3,0.6877917763259676
18133061,04DT,Ex1,17110010,02CLC,Ex8,0.6392675481256651
18133061,04DT,Ex1,17110010,02CLC,Ex2,0.7453392916415111
18133061,04DT,Ex1,17110010,02CLC,Ex6,0.6786381545971867
18133061,04DT,Ex1,17110010,02CLC,Ex4,0.6877917763259676
18133061,04DT,Ex1,17110021,01CLC,Ex2,0.7436475474387407
18133061,04DT,Ex1,17110030,01CLC,Ex7,0.6530959397554398
18133061,04DT,Ex1,17110030,01CLC,Ex5,0.6657174550753864
18133061,04DT,Ex1,17110030,01CLC,Ex1,0.8489978265289854
18133061,04DT,Ex1,17110030,01CLC,Ex3,0.7134768392117519
18133061,04DT,Ex1,17110030,01CLC,Ex8,0.6211804892045791
18133061,04DT,Ex1,17110030,01CLC,Ex2,0.73607698218389
18133061,04DT,Ex1,17110030,01CLC,Ex6,0.6561167344396368
18133061,04DT,Ex1,17110030,01CLC,Ex4,0.6898125701567583
18133061,04DT,Ex1,17110033,02CLC,Ex7,0.6424411073900186
18133061,04DT,Ex1,17110033,02CLC,Ex5,0.6666205800524572
18133061,04DT,Ex1,17110033,02CLC,Ex1,0.8287345596722194
18133061,04DT,Ex1,17110033,02CLC,Ex3,0.7109810618890656
18133061,04DT,Ex1,17110033,02CLC,Ex8,0.6288126447308617
18133061,04DT,Ex1,17110033,02CLC,Ex2,0.7412270667491021
18133061,04DT,Ex1,17110033,02CLC,Ex6,0.6499697448198611
18133061,04DT,Ex1,17110033,02CLC,Ex4,0.7045774114131927
18133061,04DT,Ex1,17110048,02CLC,Ex7,0.6412518430802151
18133061,04DT,Ex1,17110048,02CLC,Ex5,0.693389732795565
