s1,class1,ex1,s2,class2,ex2,score
18110029,02CLC,Ex7,15110134,08CLC,Ex1,0.6769657366453333
18110029,02CLC,Ex7,15110134,08CLC,Ex3,0.831861790488748
18110029,02CLC,Ex7,15110134,08CLC,Ex2,0.8380997884139586
18110029,02CLC,Ex7,15110134,08CLC,Ex4,0.7938480959697203
18110029,02CLC,Ex7,15110353,04DT,Ex7,0.7972676354734337
18110029,02CLC,Ex7,15110353,04DT,Ex5,0.8274418142957425
18110029,02CLC,Ex7,15110353,04DT,Ex1,0.7116746821481249
18110029,02CLC,Ex7,15110353,04DT,Ex8,0.8282306911331592
18110029,02CLC,Ex7,15110353,04DT,Ex6,0.8064738414142021
18110029,02CLC,Ex7,15110353,04DT,Ex4,0.8074349888346412
18110029,02CLC,Ex7,16110253,09CLC,Ex1,0.6603316177808961
18110029,02CLC,Ex7,16110253,09CLC,Ex3,0.8468906119465828
18110029,02CLC,Ex7,16110253,09CLC,Ex2,0.8566192062462077
18110029,02CLC,Ex7,16110253,09CLC,Ex4,0.8210362204171102
18110029,02CLC,Ex7,16110261,08CLC,Ex5,0.7982185054832781
18110029,02CLC,Ex7,16110261,08CLC,Ex1,0.8571512258865617
18110029,02CLC,Ex7,16110261,08CLC,Ex2,0.8502237180183674
18110029,02CLC,Ex7,16110261,08CLC,Ex6,0.8392055233997696
18110029,02CLC,Ex7,16110261,08CLC,Ex4,0.8170119488033755
18110029,02CLC,Ex7,16110585,08CLC,Ex1,0.659393948351228
18110029,02CLC,Ex7,16119045,09CLC,Ex5,0.799562650478699
18110029,02CLC,Ex7,16119045,09CLC,Ex1,0.680603854573531
18110029,02CLC,Ex7,16119045,09CLC,Ex3,0.8467108347252303
18110029,02CLC,Ex7,16119045,09CLC,Ex2,0.8671656154006361
18110029,02CLC,Ex7,16119045,09CLC,Ex6,0.829078835040215
18110029,02CLC,Ex7,16119045,09CLC,Ex4,0.848996882589118
18110029,02CLC,Ex7,17110010,02CLC,Ex7,0.8486459831010948
18110029,02CLC,Ex7,17110010,02CLC,Ex5,0.7964206731745175
18110029,02CLC,Ex7,17110010,02CLC,Ex1,0.6814820461371947
18110029,02CLC,Ex7,17110010,02CLC,Ex3,0.8656152518641236
18110029,02CLC,Ex7,17110010,02CLC,Ex8,0.8043949761811424
18110029,02CLC,Ex7,17110010,02CLC,Ex2,0.9138725557959223
18110029,02CLC,Ex7,17110010,02CLC,Ex6,0.7946870939986762
18110029,02CLC,Ex7,17110010,02CLC,Ex4,0.8656152518641236
18110029,02CLC,Ex7,17110021,01CLC,Ex2,0.9208004027605057
18110029,02CLC,Ex7,17110030,01CLC,Ex7,0.8197157736996125
18110029,02CLC,Ex7,17110030,01CLC,Ex5,0.8243608902641796
18110029,02CLC,Ex7,17110030,01CLC,Ex1,0.6807068880738282
18110029,02CLC,Ex7,17110030,01CLC,Ex3,0.8601461470408259
18110029,02CLC,Ex7,17110030,01CLC,Ex8,0.7610898455123947
18110029,02CLC,Ex7,17110030,01CLC,Ex2,0.8838882314210589
18110029,02CLC,Ex7,17110030,01CLC,Ex6,0.8064451073006396
18110029,02CLC,Ex7,17110030,01CLC,Ex4,0.8507880454784945
18110029,02CLC,Ex7,17110033,02CLC,Ex7,0.8767492636874482
18110029,02CLC,Ex7,17110033,02CLC,Ex5,0.8315497635341272
18110029,02CLC,Ex7,17110033,02CLC,Ex1,0.6808708085332598
18110029,02CLC,Ex7,17110033,02CLC,Ex3,0.8537421065072218
18110029,02CLC,Ex7,17110033,02CLC,Ex8,0.7697318417081623
18110029,02CLC,Ex7,17110033,02CLC,Ex2,0.9140568317530992
18110029,02CLC,Ex7,17110033,02CLC,Ex6,0.863709092782094
18110029,02CLC,Ex7,17110033,02CLC,Ex4,0.834422634601593
18110029,02CLC,Ex7,17110048,02CLC,Ex7,0.8199197077983601
18110029,02CLC,Ex7,17110048,02CLC,Ex5,0.8378499799772449
18110029,02CLC,Ex7,17110048,02CLC,Ex1,0.6836513788411112
18110029,02CLC,Ex7,17110048,02CLC,Ex3,0.8388588596303184
18110029,02CLC,Ex7,17110048,02CLC,Ex8,0.7610898455123947
18110029,02CLC,Ex7,17110048,02CLC,Ex2,0.8915856978472542
18110029,02CLC,Ex7,17110048,02CLC,Ex6,0.7883192535379145
18110029,02CLC,Ex7,17110048,02CLC,Ex4,0.834422634601593
18110029,02CLC,Ex7,17110049,02CLC,Ex5,0.8394913201659454
18110029,02CLC,Ex7,17110049,02CLC,Ex1,0.6639860658483072
18110029,02CLC,Ex7,17110049,02CLC,Ex3,0.8550144299341921
18110029,02CLC,Ex7,17110049,02CLC,Ex2,0.9041640611342442
18110029,02CLC,Ex7,17110049,02CLC,Ex6,0.7917894882678288
18110029,02CLC,Ex7,17110049,02CLC,Ex4,0.8442366317403122
18110029,02CLC,Ex7,17110059,02CLC,Ex7,0.8039605084663075
18110029,02CLC,Ex7,17110059,02CLC,Ex5,0.818840318272029
18110029,02CLC,Ex7,17110059,02CLC,Ex1,0.676749383409818
18110029,02CLC,Ex7,17110059,02CLC,Ex3,0.8431821570924993
18110029,02CLC,Ex7,17110059,02CLC,Ex8,0.7852050723622039
18110029,02CLC,Ex7,17110059,02CLC,Ex2,0.9060765389353037
18110029,02CLC,Ex7,17110059,02CLC,Ex6,0.7948566251291949
18110029,02CLC,Ex7,17110059,02CLC,Ex4,0.8411983597537745
