s1,class1,ex1,s2,class2,ex2,score
18110111,09CLC,Ex7,15110134,08CLC,Ex1,0.6807620093384956
18110111,09CLC,Ex7,15110134,08CLC,Ex3,0.9051538083483192
18110111,09CLC,Ex7,15110134,08CLC,Ex2,0.9050597987148199
18110111,09CLC,Ex7,15110134,08CLC,Ex4,0.8328348565282244
18110111,09CLC,Ex7,15110353,04DT,Ex7,0.8507489040932235
18110111,09CLC,Ex7,15110353,04DT,Ex5,0.8864214814037358
18110111,09CLC,Ex7,15110353,04DT,Ex1,0.718698866341425
18110111,09CLC,Ex7,15110353,04DT,Ex8,0.8884727646021953
18110111,09CLC,Ex7,15110353,04DT,Ex6,0.8336270824074745
18110111,09CLC,Ex7,15110353,04DT,Ex4,0.8729206808588722
18110111,09CLC,Ex7,16110253,09CLC,Ex1,0.6642833764469901
18110111,09CLC,Ex7,16110253,09CLC,Ex3,0.9513411009311676
18110111,09CLC,Ex7,16110253,09CLC,Ex2,0.9487854238818674
18110111,09CLC,Ex7,16110253,09CLC,Ex4,0.9161735270001473
18110111,09CLC,Ex7,16110261,08CLC,Ex5,0.8550081611239294
18110111,09CLC,Ex7,16110261,08CLC,Ex1,0.8652602109042081
18110111,09CLC,Ex7,16110261,08CLC,Ex2,0.909211792137431
18110111,09CLC,Ex7,16110261,08CLC,Ex6,0.8786342006697997
18110111,09CLC,Ex7,16110261,08CLC,Ex4,0.8737710126001259
18110111,09CLC,Ex7,16110585,08CLC,Ex1,0.663252359212831
18110111,09CLC,Ex7,16119045,09CLC,Ex5,0.8834609655155377
18110111,09CLC,Ex7,16119045,09CLC,Ex1,0.6758405157940925
18110111,09CLC,Ex7,16119045,09CLC,Ex3,0.9335808911744286
18110111,09CLC,Ex7,16119045,09CLC,Ex2,0.9478501415396311
18110111,09CLC,Ex7,16119045,09CLC,Ex6,0.8804877474614154
18110111,09CLC,Ex7,16119045,09CLC,Ex4,0.9459968556478185
18110111,09CLC,Ex7,17110010,02CLC,Ex7,0.7804894746796599
18110111,09CLC,Ex7,17110010,02CLC,Ex5,0.8129215763349619
18110111,09CLC,Ex7,17110010,02CLC,Ex1,0.680198575441654
18110111,09CLC,Ex7,17110010,02CLC,Ex3,0.838864321127916
18110111,09CLC,Ex7,17110010,02CLC,Ex8,0.770872891867528
18110111,09CLC,Ex7,17110010,02CLC,Ex2,0.8760729870164251
18110111,09CLC,Ex7,17110010,02CLC,Ex6,0.8001296212242599
18110111,09CLC,Ex7,17110010,02CLC,Ex4,0.838864321127916
18110111,09CLC,Ex7,17110021,01CLC,Ex2,0.8820960275828839
18110111,09CLC,Ex7,17110030,01CLC,Ex7,0.8312701256624584
18110111,09CLC,Ex7,17110030,01CLC,Ex5,0.8328795621898722
18110111,09CLC,Ex7,17110030,01CLC,Ex1,0.6784308583634656
18110111,09CLC,Ex7,17110030,01CLC,Ex3,0.8361908568526214
18110111,09CLC,Ex7,17110030,01CLC,Ex8,0.745313333758446
18110111,09CLC,Ex7,17110030,01CLC,Ex2,0.8506254245611754
18110111,09CLC,Ex7,17110030,01CLC,Ex6,0.810969251034024
18110111,09CLC,Ex7,17110030,01CLC,Ex4,0.8241943598055003
18110111,09CLC,Ex7,17110033,02CLC,Ex7,0.7976952032646635
18110111,09CLC,Ex7,17110033,02CLC,Ex5,0.8139869458791686
18110111,09CLC,Ex7,17110033,02CLC,Ex1,0.6766556397506169
18110111,09CLC,Ex7,17110033,02CLC,Ex3,0.8421096592037766
18110111,09CLC,Ex7,17110033,02CLC,Ex8,0.7544664703400619
18110111,09CLC,Ex7,17110033,02CLC,Ex2,0.8825330006611811
18110111,09CLC,Ex7,17110033,02CLC,Ex6,0.8058086166015038
18110111,09CLC,Ex7,17110033,02CLC,Ex4,0.8319068024158478
