s1,class1,ex1,s2,class2,ex2,score
18110276,03DT,Ex7,15110134,08CLC,Ex1,0.6571555122574593
18110276,03DT,Ex7,15110134,08CLC,Ex3,0.8531857074475756
18110276,03DT,Ex7,15110134,08CLC,Ex2,0.8630512725101428
18110276,03DT,Ex7,15110134,08CLC,Ex4,0.8138580794135729
18110276,03DT,Ex7,15110353,04DT,Ex7,0.8133569332606653
18110276,03DT,Ex7,15110353,04DT,Ex5,0.838360113835116
18110276,03DT,Ex7,15110353,04DT,Ex1,0.7200801796887232
18110276,03DT,Ex7,15110353,04DT,Ex8,0.8351872135506998
18110276,03DT,Ex7,15110353,04DT,Ex6,0.7975762947354206
18110276,03DT,Ex7,15110353,04DT,Ex4,0.8411052823066711
18110276,03DT,Ex7,16110253,09CLC,Ex1,0.645922570554323
18110276,03DT,Ex7,16110253,09CLC,Ex3,0.8719501253962517
18110276,03DT,Ex7,16110253,09CLC,Ex2,0.8901642164763283
18110276,03DT,Ex7,16110253,09CLC,Ex4,0.8534549220439491
18110276,03DT,Ex7,16110261,08CLC,Ex5,0.8219144939676697
18110276,03DT,Ex7,16110261,08CLC,Ex1,0.7943383116613735
18110276,03DT,Ex7,16110261,08CLC,Ex2,0.8650878599320335
18110276,03DT,Ex7,16110261,08CLC,Ex6,0.8418336913955903
18110276,03DT,Ex7,16110261,08CLC,Ex4,0.8111269048832613
18110276,03DT,Ex7,16110585,08CLC,Ex1,0.6445827387100043
18110276,03DT,Ex7,16119045,09CLC,Ex5,0.8337831632657484
18110276,03DT,Ex7,16119045,09CLC,Ex1,0.6699933073768726
18110276,03DT,Ex7,16119045,09CLC,Ex3,0.8603566253886503
18110276,03DT,Ex7,16119045,09CLC,Ex2,0.9004876347909491
18110276,03DT,Ex7,16119045,09CLC,Ex6,0.8356424564285501
18110276,03DT,Ex7,16119045,09CLC,Ex4,0.8598020308226058
18110276,03DT,Ex7,17110010,02CLC,Ex7,0.7384784443960992
18110276,03DT,Ex7,17110010,02CLC,Ex5,0.7572849106176623
18110276,03DT,Ex7,17110010,02CLC,Ex1,0.6559226646049489
18110276,03DT,Ex7,17110010,02CLC,Ex3,0.764436845213939
18110276,03DT,Ex7,17110010,02CLC,Ex8,0.7293259827446203
