s1,class1,ex1,s2,class2,ex2,score
18110262,03DT,Ex7,15110134,08CLC,Ex1,0.6698000467521079
18110262,03DT,Ex7,15110134,08CLC,Ex3,0.8812330826824787
18110262,03DT,Ex7,15110134,08CLC,Ex2,0.8976900396722086
18110262,03DT,Ex7,15110134,08CLC,Ex4,0.8247974998120106
18110262,03DT,Ex7,15110353,04DT,Ex7,0.8371554820853121
18110262,03DT,Ex7,15110353,04DT,Ex5,0.8634772749122129
18110262,03DT,Ex7,15110353,04DT,Ex1,0.6965799066035644
18110262,03DT,Ex7,15110353,04DT,Ex8,0.8640725584116706
18110262,03DT,Ex7,15110353,04DT,Ex6,0.8321406453587982
18110262,03DT,Ex7,15110353,04DT,Ex4,0.860965904864398
18110262,03DT,Ex7,16110253,09CLC,Ex1,0.6533934240944164
18110262,03DT,Ex7,16110253,09CLC,Ex3,0.9120751854777336
18110262,03DT,Ex7,16110253,09CLC,Ex2,0.9350943239296183
18110262,03DT,Ex7,16110253,09CLC,Ex4,0.8917976292448306
18110262,03DT,Ex7,16110261,08CLC,Ex5,0.8334008182438326
18110262,03DT,Ex7,16110261,08CLC,Ex1,0.8515290682288733
18110262,03DT,Ex7,16110261,08CLC,Ex2,0.9101060632316545
18110262,03DT,Ex7,16110261,08CLC,Ex6,0.845666365106765
18110262,03DT,Ex7,16110261,08CLC,Ex4,0.84194644489165
18110262,03DT,Ex7,16110585,08CLC,Ex1,0.6527327696771122
18110262,03DT,Ex7,16119045,09CLC,Ex5,0.8780736494809389
18110262,03DT,Ex7,16119045,09CLC,Ex1,0.6661443469152285
18110262,03DT,Ex7,16119045,09CLC,Ex3,0.9044640546335894
18110262,03DT,Ex7,16119045,09CLC,Ex2,0.9413956062621381
18110262,03DT,Ex7,16119045,09CLC,Ex6,0.8865183838842444
18110262,03DT,Ex7,16119045,09CLC,Ex4,0.9059310789825847
18110262,03DT,Ex7,17110010,02CLC,Ex7,0.7626512697310124
18110262,03DT,Ex7,17110010,02CLC,Ex5,0.7852563279281769
18110262,03DT,Ex7,17110010,02CLC,Ex1,0.6517884629012565
18110262,03DT,Ex7,17110010,02CLC,Ex3,0.7984944113299378
18110262,03DT,Ex7,17110010,02CLC,Ex8,0.7443382077190388
18110262,03DT,Ex7,17110010,02CLC,Ex2,0.8663795978189951
18110262,03DT,Ex7,17110010,02CLC,Ex6,0.7843026656370896
18110262,03DT,Ex7,17110010,02CLC,Ex4,0.7984944113299378
18110262,03DT,Ex7,17110021,01CLC,Ex2,0.8814145181328058
18110262,03DT,Ex7,17110030,01CLC,Ex7,0.8094632125106351
18110262,03DT,Ex7,17110030,01CLC,Ex5,0.8055453612842661
18110262,03DT,Ex7,17110030,01CLC,Ex1,0.6482489975850757
18110262,03DT,Ex7,17110030,01CLC,Ex3,0.8082080969832978
18110262,03DT,Ex7,17110030,01CLC,Ex8,0.7272675613142515
18110262,03DT,Ex7,17110030,01CLC,Ex2,0.8406311046670784
18110262,03DT,Ex7,17110030,01CLC,Ex6,0.797196124281202
18110262,03DT,Ex7,17110030,01CLC,Ex4,0.7950271543180734
18110262,03DT,Ex7,17110033,02CLC,Ex7,0.7657354051185833
18110262,03DT,Ex7,17110033,02CLC,Ex5,0.7888180795239239
18110262,03DT,Ex7,17110033,02CLC,Ex1,0.6478817873341697
18110262,03DT,Ex7,17110033,02CLC,Ex3,0.8129720376045616
18110262,03DT,Ex7,17110033,02CLC,Ex8,0.7393289308967683
