s1,class1,ex1,s2,class2,ex2,score
18110238,09CLC,Ex7,15110134,08CLC,Ex1,0.7095330108670478
18110238,09CLC,Ex7,15110134,08CLC,Ex3,0.8636123023781122
18110238,09CLC,Ex7,15110134,08CLC,Ex2,0.8790975316856684
18110238,09CLC,Ex7,15110134,08CLC,Ex4,0.8153699643232606
18110238,09CLC,Ex7,15110353,04DT,Ex7,0.7851453541832811
18110238,09CLC,Ex7,15110353,04DT,Ex5,0.8320396278702885
18110238,09CLC,Ex7,15110353,04DT,Ex1,0.7278408366053001
18110238,09CLC,Ex7,15110353,04DT,Ex8,0.8088565185518548
18110238,09CLC,Ex7,15110353,04DT,Ex6,0.7623413364554561
18110238,09CLC,Ex7,15110353,04DT,Ex4,0.8262188892472874
18110238,09CLC,Ex7,16110253,09CLC,Ex1,0.6853482903436173
18110238,09CLC,Ex7,16110253,09CLC,Ex3,0.8813431003689766
18110238,09CLC,Ex7,16110253,09CLC,Ex2,0.8888574035728679
18110238,09CLC,Ex7,16110253,09CLC,Ex4,0.8400024481869619
18110238,09CLC,Ex7,16110261,08CLC,Ex5,0.7861041931759024
18110238,09CLC,Ex7,16110261,08CLC,Ex1,0.8885918347672983
18110238,09CLC,Ex7,16110261,08CLC,Ex2,0.8817694841445177
18110238,09CLC,Ex7,16110261,08CLC,Ex6,0.7845463586952093
18110238,09CLC,Ex7,16110261,08CLC,Ex4,0.8245817646384239
18110238,09CLC,Ex7,16110585,08CLC,Ex1,0.6842349043419195
18110238,09CLC,Ex7,16119045,09CLC,Ex5,0.8148311302065849
18110238,09CLC,Ex7,16119045,09CLC,Ex1,0.6962034014952665
18110238,09CLC,Ex7,16119045,09CLC,Ex3,0.8764996315334358
18110238,09CLC,Ex7,16119045,09CLC,Ex2,0.8958560914160257
18110238,09CLC,Ex7,16119045,09CLC,Ex6,0.8072304673463918
18110238,09CLC,Ex7,16119045,09CLC,Ex4,0.8752514722856503
18110238,09CLC,Ex7,17110010,02CLC,Ex7,0.7570657830890328
18110238,09CLC,Ex7,17110010,02CLC,Ex5,0.7689256915556533
18110238,09CLC,Ex7,17110010,02CLC,Ex1,0.7089362779312586
18110238,09CLC,Ex7,17110010,02CLC,Ex3,0.7968582475287282
18110238,09CLC,Ex7,17110010,02CLC,Ex8,0.7366683798677781
18110238,09CLC,Ex7,17110010,02CLC,Ex2,0.8489399836005935
18110238,09CLC,Ex7,17110010,02CLC,Ex6,0.773485731620055
18110238,09CLC,Ex7,17110010,02CLC,Ex4,0.7968582475287282
18110238,09CLC,Ex7,17110021,01CLC,Ex2,0.8548844832926988
18110238,09CLC,Ex7,17110030,01CLC,Ex7,0.7951617473158343
18110238,09CLC,Ex7,17110030,01CLC,Ex5,0.773416471433512
18110238,09CLC,Ex7,17110030,01CLC,Ex1,0.6996443718671799
