s1,class1,ex1,s2,class2,ex2,score
17110285,04DT,EX8,15110134,08CLC,Ex1,0.7246843019222959
17110285,04DT,EX8,15110134,08CLC,Ex3,0.8730293135432636
17110285,04DT,EX8,15110134,08CLC,Ex2,0.9007497711128063
17110285,04DT,EX8,15110134,08CLC,Ex4,0.8184018266020399
17110285,04DT,EX8,15110353,04DT,Ex7,0.7941718766794486
17110285,04DT,EX8,15110353,04DT,Ex5,0.8388064815363753
17110285,04DT,EX8,15110353,04DT,Ex1,0.7543650295423425
17110285,04DT,EX8,15110353,04DT,Ex8,0.8332631363235291
17110285,04DT,EX8,15110353,04DT,Ex6,0.7935845082582429
17110285,04DT,EX8,15110353,04DT,Ex4,0.8677688327702608
17110285,04DT,EX8,16110253,09CLC,Ex1,0.7070064279575681
17110285,04DT,EX8,16110253,09CLC,Ex3,0.8853299298882484
17110285,04DT,EX8,16110253,09CLC,Ex8,0.8072289041956963
17110285,04DT,EX8,16110253,09CLC,Ex2,0.9230559240369236
17110285,04DT,EX8,16110253,09CLC,Ex4,0.8524558191452551
17110285,04DT,EX8,16110261,08CLC,Ex5,0.8176111201165428
17110285,04DT,EX8,16110261,08CLC,Ex1,0.8941811546683311
17110285,04DT,EX8,16110261,08CLC,Ex2,0.9017996973004835
17110285,04DT,EX8,16110261,08CLC,Ex6,0.8236403733797041
17110285,04DT,EX8,16110261,08CLC,Ex4,0.8401955253091352
17110285,04DT,EX8,16110585,08CLC,Ex1,0.7060462096056273
17110285,04DT,EX8,16110585,08CLC,Ex8,0.8196132991704518
17110285,04DT,EX8,16119045,09CLC,Ex5,0.8364001099358905
17110285,04DT,EX8,16119045,09CLC,Ex1,0.7256972440060853
17110285,04DT,EX8,16119045,09CLC,Ex3,0.8727805988461363
17110285,04DT,EX8,16119045,09CLC,Ex2,0.9228172830070358
17110285,04DT,EX8,16119045,09CLC,Ex6,0.8354627488884017
17110285,04DT,EX8,16119045,09CLC,Ex4,0.8727410259177384
17110285,04DT,EX8,17110010,02CLC,Ex7,0.7704752744401543
17110285,04DT,EX8,17110010,02CLC,Ex5,0.7941075451672077
17110285,04DT,EX8,17110010,02CLC,Ex1,0.7053053458414135
17110285,04DT,EX8,17110010,02CLC,Ex3,0.7970028494158362
17110285,04DT,EX8,17110010,02CLC,Ex8,0.8031634521417591
17110285,04DT,EX8,17110010,02CLC,Ex2,0.8824687546276184
17110285,04DT,EX8,17110010,02CLC,Ex6,0.7857810118325976
17110285,04DT,EX8,17110010,02CLC,Ex4,0.7970028494158362
17110285,04DT,EX8,17110021,01CLC,Ex2,0.8885043695569038
17110285,04DT,EX8,17110030,01CLC,Ex7,0.7841339598441947
17110285,04DT,EX8,17110030,01CLC,Ex5,0.7994650221444706
17110285,04DT,EX8,17110030,01CLC,Ex1,0.6984881582420047
17110285,04DT,EX8,17110030,01CLC,Ex3,0.8084513649063291
17110285,04DT,EX8,17110030,01CLC,Ex8,0.7785078064656593
17110285,04DT,EX8,17110030,01CLC,Ex2,0.8579643341627988
17110285,04DT,EX8,17110030,01CLC,Ex6,0.7889055583503221
17110285,04DT,EX8,17110030,01CLC,Ex4,0.7948319804772996
17110285,04DT,EX8,17110033,02CLC,Ex7,0.7700043709969128
17110285,04DT,EX8,17110033,02CLC,Ex5,0.7976326097802418
17110285,04DT,EX8,17110033,02CLC,Ex1,0.7133371685232435
17110285,04DT,EX8,17110033,02CLC,Ex3,0.8160697034111729
17110285,04DT,EX8,17110033,02CLC,Ex8,0.7986311511407563
17110285,04DT,EX8,17110033,02CLC,Ex2,0.8919957562700495
17110285,04DT,EX8,17110033,02CLC,Ex6,0.7861414490754788
17110285,04DT,EX8,17110033,02CLC,Ex4,0.8080715487003326
17110285,04DT,EX8,17110048,02CLC,Ex7,0.7562193445508526
17110285,04DT,EX8,17110048,02CLC,Ex5,0.8093334506063358
17110285,04DT,EX8,17110048,02CLC,Ex1,0.7059159526319215
17110285,04DT,EX8,17110048,02CLC,Ex3,0.8019668465262061
17110285,04DT,EX8,17110048,02CLC,Ex8,0.7785078064656593
17110285,04DT,EX8,17110048,02CLC,Ex2,0.8676544634734883
17110285,04DT,EX8,17110048,02CLC,Ex6,0.7785156105611191
17110285,04DT,EX8,17110048,02CLC,Ex4,0.8080715487003326
17110285,04DT,EX8,17110049,02CLC,Ex5,0.7878306948150378
17110285,04DT,EX8,17110049,02CLC,Ex1,0.692427093332464
17110285,04DT,EX8,17110049,02CLC,Ex3,0.8029696274744836
17110285,04DT,EX8,17110049,02CLC,Ex2,0.8833316928810544
17110285,04DT,EX8,17110049,02CLC,Ex6,0.754091758041354
17110285,04DT,EX8,17110049,02CLC,Ex4,0.7845235528027426
17110285,04DT,EX8,17110059,02CLC,Ex7,0.7761584841340037
17110285,04DT,EX8,17110059,02CLC,Ex5,0.8023147572398571
17110285,04DT,EX8,17110059,02CLC,Ex1,0.7044354920231161
17110285,04DT,EX8,17110059,02CLC,Ex3,0.8027459006264525
17110285,04DT,EX8,17110059,02CLC,Ex8,0.7860899686711986
17110285,04DT,EX8,17110059,02CLC,Ex2,0.8878015305846929
17110285,04DT,EX8,17110059,02CLC,Ex6,0.7775024458941291
17110285,04DT,EX8,17110059,02CLC,Ex4,0.789565042309139
17110285,04DT,EX8,17110062,02CLC,Ex7,0.8011552472873749
17110285,04DT,EX8,17110062,02CLC,Ex5,0.7998495899761716
17110285,04DT,EX8,17110062,02CLC,Ex1,0.7082979265487556
